normalized_url,origins,kind,checked_at,http,final_url,robots,result,signals,content_type,bytes,truncated,note,verification,error
https://ai.gateway.lovable.dev/v1/chat/completions,historial del usuario,"servicio de API, no fuente de agenda",2026-09-07T19:21:28Z,,,,no procede solicitar como agenda,,,,,"servicio de API, no fuente de agenda",comprobación independiente de URL; extractor no ejecutado,
https://alhaurindelatorre.es/,historial del usuario; registry:municipal-alhaurin-torre:url,fuente o página informativa,2026-09-07,200,,permitido,URL comprobada por Lovable,wp,,,,cuerpo truncado,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
https://alhaurindelatorre.es/agenda,registry:src-agenda-alhaurin-torre:url,fuente o página informativa,2026-09-07T20:16:55Z,200,https://alhaurindelatorre.es/agenda/,permitido,HTTP 200,,text/html; charset=UTF-8,524288,True,cuerpo limitado; no acredita contenido completo,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://alhaurinelgrande.es/events/mes,registry:src-agenda-alhaurin-grande:url,fuente o página informativa,2026-09-07T20:16:55Z,200,https://alhaurinelgrande.es/events/mes/,permitido,HTTP 200,,text/html; charset=UTF-8,524288,True,cuerpo limitado; no acredita contenido completo,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://antojomalaga.es/,historial del usuario; legacy:antojo-malaga:entrypoints_detected; legacy:antojo-malaga:fallback_entrypoint,fuente o página informativa,2026-09-07,200,,permitido,URL comprobada por Lovable,rss;wp,,,,,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
https://antojomalaga.es/detail/252792962435,legacy:antojo-malaga:entrypoints_detected,fuente o página informativa,2026-09-07T20:16:55Z,404,https://antojomalaga.es/detail/252792962435,permitido,HTTP 404,,text/html; charset=UTF-8,112873,False,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://antojomalaga.es/detail/270429621112,legacy:antojo-malaga:entrypoints_detected,fuente o página informativa,2026-09-07T20:16:57Z,404,https://antojomalaga.es/detail/270429621112,permitido,HTTP 404,,text/html; charset=UTF-8,112873,False,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://antojomalaga.es/detail/52229727935,legacy:antojo-malaga:entrypoints_detected,fuente o página informativa,2026-09-07T20:16:58Z,404,https://antojomalaga.es/detail/52229727935,permitido,HTTP 404,,text/html; charset=UTF-8,112871,False,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://antojomalaga.es/programacion,historial del usuario; legacy:antojo-malaga:chosen_entrypoint; legacy:antojo-malaga:entrypoints_detected,fuente o página informativa,2026-09-07,200,,permitido,URL comprobada por Lovable,rss;wp,,,,,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
https://apaldeportes.rincondelavictoria.es/eventos,historial del usuario; sports:rincon-victoria-deportes:primary_url; sports:rincon-victoria-deportes:url,fuente o página informativa,2026-09-07,200,,permitido,URL comprobada por Lovable,,,,,,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
https://api.firecrawl.dev/v1/scrape,historial del usuario,"servicio de API, no fuente de agenda",2026-09-07T19:21:33Z,,,,no procede solicitar como agenda,,,,,"servicio de API, no fuente de agenda",comprobación independiente de URL; extractor no ejecutado,
https://ateneomalaga.es/,registry:ateneo-malaga:url,fuente o página informativa,2026-09-07T20:16:59Z,,,no verificable (connection_error),robots no verificable; contenido no solicitado,,,,,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://atletismomalaga.com/calendario,sports:atletismo-malaga:primary_url; sports:atletismo-malaga:url,fuente o página informativa,2026-09-07T20:16:59Z,,,no verificable (connection_error),robots no verificable; contenido no solicitado,,,,,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://axarquiacostadelsol.es/eventosaxarquiacostadelsol,historial del usuario; legacy:apta-axarquia:chosen_entrypoint; registry:src-eventos-axarquia-costa-del-sol:url,fuente o página informativa,2026-09-07,200,,permitido,URL comprobada por Lovable,rss;wp,,,,,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
https://ayuntamiento.estepona.es/agenda,registry:src-agenda-estepona:url,fuente o página informativa,2026-09-07T20:16:59Z,200,https://ayuntamiento.estepona.es/agenda,sin robots.txt (404),HTTP 200,,text/html; Charset=utf-8,24704,False,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://ayuntamientoronda.es/agenda-de-actividades-y-eventos,historial del usuario; legacy:ayto-ronda:chosen_entrypoint; registry:src-agenda-ronda-ayto:url,fuente o página informativa,2026-09-07,200,,permitido,URL comprobada por Lovable,rss;wp,,,,,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
https://brisafestival.com/,historial del usuario; registry:brisa-festival:url,fuente o página informativa,2026-09-07,200,,permitido,URL comprobada por Lovable,rss;wp,,,,,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
https://cacmalaga.eu/exposiciones,scraping:CAC Málaga:url,fuente o página informativa,2026-09-07T20:17:00Z,,,no verificable (500),robots no verificable; contenido no solicitado,,,,,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://cadenaser.com/tag/serpeques,historial del usuario; registry:serpeques:url,fuente o página informativa,2026-09-07,404,,permitido,URL comprobada por Lovable,,,,,,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
https://canelaparty.com/,registry:src-canelaparty:url,fuente o página informativa,2026-09-07T20:17:00Z,200,https://canelaparty.com/,permitido,HTTP 200,,text/html,2773,False,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://centrepompidou-malaga.eu/,historial del usuario; registry:centre-pompidou:url; registry:src-pompidou:url,fuente o página informativa,2026-09-07,200,,permitido,URL comprobada por Lovable,rss;wp,,,,,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
https://centrepompidou-malaga.eu/actividades,scraping:Centre Pompidou Málaga:url,fuente o página informativa,2026-09-07T20:17:00Z,200,https://centrepompidou-malaga.eu/actividades-de-verano-2022/,permitido,HTTP 200,,text/html; charset=UTF-8,190677,False,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://cinealbeniz.com/,registry:cine-albeniz:url,fuente o página informativa,2026-09-07T20:17:01Z,200,https://cinealbeniz.com/,permitido,HTTP 200,,text/html; charset=UTF-8,50033,False,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://coin.es/agenda,registry:src-agenda-coin-p:url,fuente o página informativa,2026-09-07T20:17:01Z,200,https://coin.es/agenda,permitido,HTTP 200,,text/html; charset=UTF-8,88017,False,,recomprobación independiente en el entorno de auditoría de Lovable (2026-09-07); extractor no ejecutado,
https://coin.es/areas/deportes,historial del usuario,fuente o página informativa,2026-09-07,200,,permitido,URL comprobada por Lovable,,,,,,resultado reutilizado de la comprobación de Lovable; extractor no acreditado por HTTP,
